Wavelength__mum_,TE_0_gamma__infty,TE_2_gamma__infty,TE_2_gamma_120_mum,TE_0_gamma_120_mum,TE_2_gamma_100_mum,TE_0_gamma_100_mum,TE_2_gamma_80_mum,TE_0_gamma_80_mum,TE_2_gamma_60_mum,TE_0_gamma_60_mum
1.3,2.57344549450428,2.32806091051874,2.06502957592296,2.27876163037498,2.02154755911425,2.23675802086862,1.96212573983993,2.18453602827027,1.86993856824001,2.11487552481186
1.301,2.57242255640008,2.32685941956633,2.06389435680242,2.27780166175011,2.02046900678405,2.23581643194013,1.96112650359998,2.18360689473428,1.86902417414329,2.11394138899779
1.302,2.57140069723577,2.325658833088,2.06276030030623,2.27684292281159,2.01939150988346,2.23487607592294,1.96012818111301,2.18267902935551,1.86811074482466,2.11300863455712
1.303,2.57037991701134,2.32445915108376,2.06162740643438,2.27588541355941,2.01831506841248,2.23393695281703,1.95913077237903,2.18175243213397,1.86719828028412,2.11207726148985
1.304,2.56936021572679,2.3232603735536,2.06049567518689,2.27492913399357,2.01723968237111,2.23299906262242,1.95813427739805,2.18082710306966,1.86628678052168,2.11114726979599
1.305,2.56834159338213,2.32206250049752,2.05936510656375,2.27397408411407,2.01616535175936,2.2320624053391,1.95713869617005,2.17990304216258,1.86537624553733,2.11021865947553
1.306,2.56732404997735,2.32086553191553,2.05823570056495,2.27302026392092,2.01509207657722,2.23112698096706,1.95614402869504,2.17898024941272,1.86446667533108,2.10929143052848
1.307,2.56630758551245,2.31966946780763,2.0571074571905,2.2720676734141,2.0140198568247,2.23019278950632,1.95515027497303,2.17805872482008,1.86355806990291,2.10836558295483
1.308,2.56529219998743,2.31847430817381,2.05598037644041,2.27111631259363,2.01294869250178,2.22925983095687,1.954157435004,2.17713846838468,1.86265042925285,2.10744111675459
1.309,2.5642778934023,2.31728005301408,2.05485445831466,2.2701661814595,2.01187858360848,2.22832810531871,1.95316550878796,2.1762194801065,1.86174375338087,2.10651803192775
1.31,2.56326466575705,2.31608670232843,2.05372970281327,2.26921728001171,2.0108095301448,2.22739761259184,1.95217449632492,2.17530175998554,1.86083804228699,2.10559632847431
1.311,2.56225251705168,2.31489425611687,2.05260610993622,2.26826960825026,2.00974153211072,2.22646835277625,1.95118439761486,2.17438530802181,1.8599332959712,2.10467600639428
1.312,2.56124144728619,2.31370271437939,2.05148367968352,2.26732316617516,2.00867458950626,2.22554032587196,1.95019521265779,2.17347012421531,1.8590295144335,2.10375706568766
1.313,2.56023145646059,2.312512077116,2.05036241205517,2.2663779537864,2.00760870233141,2.22461353187896,1.94920694145372,2.17255620856603,1.8581266976739,2.10283950635444
1.314,2.55922254457487,2.31132234432669,2.04924230705118,2.26543397108397,2.00654387058617,2.22368797079725,1.94821958400263,2.17164356107398,1.85722484569239,2.10192332839462
1.315,2.55821471162903,2.31013351601147,2.04812336467153,2.26449121806789,2.00548009427055,2.22276364262683,1.94723314030454,2.17073218173916,1.85632395848897,2.10100853180821
1.316,2.55720795762308,2.30894559217033,2.04700558491623,2.26354969473816,2.00441737338454,2.2218405473677,1.94624761035943,2.16982207056156,1.85542403606365,2.1000951165952
1.317,2.55620228255701,2.30775857280328,2.04588896778528,2.26260940109476,2.00335570792814,2.22091868501986,1.94526299416731,2.16891322754119,1.85452507841642,2.09918308275559
1.318,2.55519768643082,2.30657245791031,2.04477351327868,2.26167033713771,2.00229509790136,2.21999805558331,1.94427929172819,2.16800565267804,1.85362708554728,2.09827243028939
1.319,2.55419416924451,2.30538724749143,2.04365922139643,2.26073250286699,2.00123554330419,2.21907865905805,1.94329650304205,2.16709934597212,1.85273005745623,2.0973631591966
1.32,2.55319173099809,2.30420294154663,2.04254609213853,2.25979589828262,2.00017704413663,2.21816049544408,1.94231462810891,2.16619430742343,1.85183399414328,2.09645526947721
1.321,2.55219037169155,2.30301954007592,2.04143412550498,2.25886052338459,1.99911960039868,2.2172435647414,1.94133366692875,2.16529053703196,1.85093889560843,2.09554876113122
1.322,2.55119009132489,2.30183704307929,2.04032332149578,2.25792637817291,1.99806321209035,2.21632786695001,1.94035361950159,2.16438803479772,1.85004476185166,2.09464363415864
