N_G,MeasuredData,LinearRegresion_R_2_0_98647M__0_077295
0,0.974239992329808,1.00186283174105
1,0.936984478540862,0.92456819876334
2,0.868154873647181,0.847273565785632
3,0.793557832356506,0.769978932807925
4,0.745988171451409,0.692684299830217
5,0.623100227746515,0.61538966685251
6,0.52955668487309,0.538095033874802
7,0.453006056274155,0.460800400897095
8,0.31835957598699,0.383505767919387
10,0.167652536596958,0.228916501963972
11,0.112766857987235,0.151621868986265
12,0.0563223882442617,0.074327236008557
13,0.0213383100118394,-0.0029673969691506
14,0.00476689246792792,-0.0802620299468579
