N_G,MeasuredData,LinearRegresion_R_2_0_98795M__0_07687
0,0.972793449534123,1.02041242909559
1,0.921651582044784,0.94354270927058
2,0.883723869622459,0.866672989445569
3,0.805909735587577,0.789803269620557
4,0.776833220166709,0.712933549795546
5,0.669582548738686,0.636063829970535
6,0.587198083194526,0.559194110145524
7,0.480384880733818,0.482324390320512
8,0.375424701685913,0.405454670495501
10,0.196855136890601,0.251715230845478
11,0.128939462111326,0.174845511020467
12,0.0716446765028904,0.0979757911954556
13,0.029454926285908,0.0211060713704443
14,0.00588463103787497,-0.0557636484545669
