Wavelength_nm_,m
1500,-0.0747698502490064
1500.004,-0.0747699342051403
1500.008,-0.074770017660779
1500.012,-0.0747701006162148
1500.016,-0.0747701830715912
1500.02,-0.0747702650273298
1500.024,-0.07477034648351
1500.028,-0.0747704274405225
1500.032,-0.0747705078988497
1500.036,-0.0747705878585847
1500.04,-0.0747706673202643
1500.044,-0.0747707462843029
1500.048,-0.0747708247511131
1500.052,-0.0747709027210674
1500.056,-0.0747709801944146
1500.06,-0.0747710571715663
1500.064,-0.0747711336528153
1500.068,-0.0747712096384216
1500.072,-0.07477128512855
1500.076,-0.0747713601234787
1500.08,-0.0747714346235892
1500.084,-0.0747715086293856
1500.088,-0.0747715821412213
1500.092,-0.0747716551592489
1500.096,-0.0747717276837249
1500.1,-0.0747717997148468
1500.104,-0.0747718712531874
1500.108,-0.0747719422990477
1500.112,-0.0747720128527717
1500.116,-0.0747720829146827
1500.12,-0.0747721524850785
1500.124,-0.0747722215641923
1500.128,-0.0747722901522479
1500.132,-0.0747723582495252
1500.136,-0.074772425856147
1500.14,-0.0747724929723015
1500.144,-0.0747725595982629
1500.148,-0.074772625734198
1500.152,-0.0747726913806493
1500.156,-0.0747727565377539
1500.16,-0.0747728212056932
1500.164,-0.0747728853846043
1500.168,-0.0747729490747016
1500.172,-0.0747730122760202
1500.176,-0.0747730749886279
1500.18,-0.0747731372128975
1500.184,-0.0747731989490185
1500.188,-0.0747732601969335
1500.192,-0.0747733209571533
1500.196,-0.0747733812295635
1500.2,-0.0747734410142861
1500.204,-0.0747735003116396
1500.208,-0.0747735591216755
1500.212,-0.0747736174444196
1500.216,-0.0747736752803433
1500.22,-0.0747737326296996
1500.224,-0.074773789492466
1500.228,-0.0747738458690806
1500.232,-0.0747739017596189
1500.236,-0.0747739571643709
1500.24,-0.0747740120833754
1500.244,-0.0747740665168175
1500.248,-0.0747741204648735
1500.252,-0.074774173927491
1500.256,-0.0747742269049927
1500.26,-0.0747742793978258
1500.264,-0.0747743314060094
1500.268,-0.0747743829297768
1500.272,-0.0747744339693086
1500.276,-0.0747744845247899
1500.28,-0.074774534596501
1500.284,-0.0747745841847677
1500.288,-0.0747746332899439
1500.292,-0.0747746819125255
1500.296,-0.0747747300527522
1500.3,-0.07477477771148
1500.304,-0.0747748248890886
1500.308,-0.0747748715860081
1500.312,-0.0747749178025446
1500.316,-0.074774963539269
1500.32,-0.074775008796869
1500.324,-0.0747750535757709
1500.328,-0.0747750978763425
1500.332,-0.0747751416993341
1500.336,-0.0747751850452936
1500.34,-0.0747752279146491
