Wavelength_nm_,m
1500,-0.0747463926592312
1500.004,-0.0747464217335171
1500.008,-0.0747464510858051
1500.012,-0.074746480715971
1500.016,-0.0747465106239353
1500.02,-0.0747465408095845
1500.024,-0.0747465712726035
1500.028,-0.0747466020129678
1500.032,-0.0747466330301489
1500.036,-0.0747466643240993
1500.04,-0.0747466958940979
1500.044,-0.0747467277401947
1500.048,-0.0747467598621141
1500.052,-0.0747467922592816
1500.056,-0.0747468249316793
1500.06,-0.0747468578788818
1500.064,-0.0747468911007359
1500.068,-0.0747469245965958
1500.072,-0.0747469583662456
1500.076,-0.0747469924093059
1500.08,-0.0747470267249911
1500.084,-0.0747470613129641
1500.088,-0.0747470961725994
1500.092,-0.0747471313034644
1500.096,-0.074747166705206
1500.1,-0.0747472023772962
1500.104,-0.0747472383191563
1500.108,-0.0747472745298114
1500.112,-0.0747473110089772
1500.116,-0.0747473477557539
1500.12,-0.0747473847697556
1500.124,-0.0747474220505062
1500.128,-0.0747474595973535
1500.132,-0.0747474974099088
1500.136,-0.0747475354876391
1500.14,-0.0747475738300418
1500.144,-0.0747476124365808
1500.148,-0.0747476513068349
1500.152,-0.0747476904400285
1500.156,-0.074747729836033
1500.16,-0.0747477694940467
1500.164,-0.0747478094136078
1500.168,-0.0747478495941288
1500.172,-0.0747478900350019
1500.176,-0.074747930735983
1500.18,-0.0747479716965839
1500.184,-0.0747480129161023
1500.188,-0.074748054394411
1500.192,-0.074748096131279
1500.196,-0.074748138126151
1500.2,-0.0747481803786019
1500.204,-0.074748222888569
1500.208,-0.0747482656559411
1500.212,-0.0747483086806007
1500.216,-0.0747483519624458
1500.22,-0.0747483955011444
1500.224,-0.0747484392965635
1500.228,-0.0747484833484236
1500.232,-0.0747485276567967
1500.236,-0.0747485722216148
1500.24,-0.0747486170428996
1500.244,-0.0747486621203239
1500.248,-0.0747487074539257
1500.252,-0.0747487530436801
1500.256,-0.0747487988895781
1500.26,-0.0747488449914565
1500.264,-0.0747488913494567
1500.268,-0.0747489379632752
1500.272,-0.0747489848330499
